data;curs
05.09.2017;57.7817
06.09.2017;57.8503
07.09.2017;57.3387
08.09.2017;57.1411
09.09.2017;56.9966
12.09.2017;57.1694
13.09.2017;57.2656
14.09.2017;57.6679
15.09.2017;57.7706
16.09.2017;57.5336
19.09.2017;57.6242
20.09.2017;58.0993
21.09.2017;58.1290
22.09.2017;58.2242
23.09.2017;57.6527
26.09.2017;57.5660
27.09.2017;57.5186
28.09.2017;58.0102
29.09.2017;58.4255
30.09.2017;58.0169
03.10.2017;57.8134
04.10.2017;57.9375
05.10.2017;57.7832
06.10.2017;57.5811
07.10.2017;57.7612
10.10.2017;58.3151
11.10.2017;58.0713
12.10.2017;57.9210
13.10.2017;57.6869
14.10.2017;57.6196
17.10.2017;57.0861
18.10.2017;57.3392
19.10.2017;57.2721
20.10.2017;57.5706
21.10.2017;57.5118
24.10.2017;57.4706
25.10.2017;57.5852
26.10.2017;57.6140
27.10.2017;57.7643
28.10.2017;58.0833
31.10.2017;57.8716
01.11.2017;58.1179
02.11.2017;58.1557
03.11.2017;58.0869
04.11.2017;58.4296
08.11.2017;58.4557
09.11.2017;59.2480
10.11.2017;59.2527
11.11.2017;59.2808
14.11.2017;59.1823
15.11.2017;59.6207
16.11.2017;60.2490
17.11.2017;59.9898
18.11.2017;59.6325
21.11.2017;59.2746
22.11.2017;59.4604
23.11.2017;59.0061
24.11.2017;58.4622
25.11.2017;58.5318
28.11.2017;58.2773
29.11.2017;58.4125
30.11.2017;58.3311
01.12.2017;58.5814
02.12.2017;58.5182
05.12.2017;58.9911
06.12.2017;58.6924
07.12.2017;58.9281
08.12.2017;59.2948
09.12.2017;59.2811
12.12.2017;59.2348
13.12.2017;58.8370
14.12.2017;59.1446
15.12.2017;58.7082
16.12.2017;58.8987
19.12.2017;58.6940
20.12.2017;58.6117
21.12.2017;58.7170
22.12.2017;58.5596
23.12.2017;58.3152
26.12.2017;58.1989
27.12.2017;57.7343
28.12.2017;57.4544
29.12.2017;57.6291
30.12.2017;57.6002
10.01.2018;57.0463
11.01.2018;56.8734
12.01.2018;56.9957
13.01.2018;56.6019
16.01.2018;56.3569
17.01.2018;56.3878
18.01.2018;56.5925
19.01.2018;56.7597
20.01.2018;56.5892
23.01.2018;56.6261
24.01.2018;56.4115
25.01.2018;56.3888
26.01.2018;55.9288
27.01.2018;55.8288
30.01.2018;56.2908
31.01.2018;56.2914
01.02.2018;56.1840
02.02.2018;56.2613
03.02.2018;56.0408
06.02.2018;56.6278
07.02.2018;57.2196
08.02.2018;56.9533
09.02.2018;57.6736
10.02.2018;58.1718
13.02.2018;58.0171
14.02.2018;57.7701
15.02.2018;57.5899
16.02.2018;56.5918
17.02.2018;56.3554
20.02.2018;56.3438
21.02.2018;56.5201
22.02.2018;56.6537
23.02.2018;56.7608
27.02.2018;55.9208
28.02.2018;55.6717
01.03.2018;56.3742
02.03.2018;56.4334
03.03.2018;56.6616
06.03.2018;57.1000
07.03.2018;56.5041
08.03.2018;56.8011
13.03.2018;56.6122
14.03.2018;56.9359
15.03.2018;56.9372
16.03.2018;57.0188
17.03.2018;57.4942
20.03.2018;57.5521
21.03.2018;57.7033
22.03.2018;57.4954
23.03.2018;56.8391
24.03.2018;57.1072
27.03.2018;57.0039
28.03.2018;57.1747
29.03.2018;57.5598
30.03.2018;57.7626
31.03.2018;57.2649
03.04.2018;57.2850
04.04.2018;57.5375
05.04.2018;57.7646
06.04.2018;57.5796
07.04.2018;57.8332
10.04.2018;58.5714
11.04.2018;62.3699
12.04.2018;64.0626
13.04.2018;62.0659
14.04.2018;61.4311
17.04.2018;62.2794
18.04.2018;61.1454
19.04.2018;61.5539
20.04.2018;60.8583
21.04.2018;61.3222
24.04.2018;61.7655
25.04.2018;61.6644
26.04.2018;61.7494
27.04.2018;62.6027
28.04.2018;62.7260
29.04.2018;61.9997
04.05.2018;63.4860
05.05.2018;63.2012
08.05.2018;62.7148
09.05.2018;63.0066
11.05.2018;62.5229
12.05.2018;61.7354
15.05.2018;61.7684
16.05.2018;61.9164
17.05.2018;62.3033
18.05.2018;61.8215
19.05.2018;61.9408
22.05.2018;62.5327
23.05.2018;61.2610
24.05.2018;61.5945
25.05.2018;61.4090
26.05.2018;61.6659
29.05.2018;62.2710
30.05.2018;62.6420
31.05.2018;62.5937
01.06.2018;62.0188
02.06.2018;62.2056
05.06.2018;61.9290
06.06.2018;61.9822
07.06.2018;62.0064
08.06.2018;61.8125
09.06.2018;62.6680
10.06.2018;62.3431
14.06.2018;63.1164
15.06.2018;62.2511
16.06.2018;62.6851
19.06.2018;63.4838
20.06.2018;64.0683
21.06.2018;63.6175
22.06.2018;63.7873
23.06.2018;63.2396
26.06.2018;62.9497
27.06.2018;62.7908
28.06.2018;63.1359
29.06.2018;63.2910
30.06.2018;62.7565
03.07.2018;63.1394
04.07.2018;63.2194
05.07.2018;63.2267
06.07.2018;63.2604
07.07.2018;63.1216
10.07.2018;62.8338
11.07.2018;62.4442
12.07.2018;62.0980
13.07.2018;62.2062
14.07.2018;62.2934
17.07.2018;62.2556
18.07.2018;62.4352
19.07.2018;62.9006
20.07.2018;63.2746
21.07.2018;63.4888
24.07.2018;63.1957
25.07.2018;62.9235
26.07.2018;63.0836
27.07.2018;62.9471
28.07.2018;62.9726
31.07.2018;62.7805
01.08.2018;62.3497
02.08.2018;62.5590
03.08.2018;63.1358
04.08.2018;63.4549
07.08.2018;63.4975
08.08.2018;63.5425
09.08.2018;63.5950
10.08.2018;66.2856
11.08.2018;66.9075
14.08.2018;68.2234
15.08.2018;66.7535
16.08.2018;66.3772
17.08.2018;66.8932
18.08.2018;66.8757
21.08.2018;67.1807
22.08.2018;67.1783
23.08.2018;67.6163
24.08.2018;68.5259
25.08.2018;67.7911
28.08.2018;67.3963
29.08.2018;67.3911
30.08.2018;68.1451
31.08.2018;68.0821
01.09.2018;68.0447
04.09.2018;67.7443
05.09.2018;68.2737
06.09.2018;68.4628
07.09.2018;68.2505
08.09.2018;69.0286
11.09.2018;69.8685
12.09.2018;69.9744
13.09.2018;69.5728
14.09.2018;68.6370
15.09.2018;68.2826
18.09.2018;68.1958
19.09.2018;67.7519
20.09.2018;67.0098
21.09.2018;66.4725
22.09.2018;66.2497
25.09.2018;66.1594
26.09.2018;65.8244
27.09.2018;65.7585
28.09.2018;65.8355
29.09.2018;65.5906
02.10.2018;65.5745
03.10.2018;65.2221
04.10.2018;65.4244
05.10.2018;66.2115
06.10.2018;66.6270
09.10.2018;66.9685
10.10.2018;66.4032
11.10.2018;66.1832
12.10.2018;66.7727
13.10.2018;65.9751
16.10.2018;65.7508
17.10.2018;65.5305
18.10.2018;65.4026
19.10.2018;65.7238
20.10.2018;65.8140
23.10.2018;65.3065
24.10.2018;65.3101
25.10.2018;65.6299
26.10.2018;65.7476
27.10.2018;65.6345
30.10.2018;65.8129
31.10.2018;65.7742
01.11.2018;65.5962
02.11.2018;65.6517
03.11.2018;65.5799
07.11.2018;65.9912
08.11.2018;66.0918
09.11.2018;66.2155
10.11.2018;66.8497
13.11.2018;67.5238
14.11.2018;67.6812
15.11.2018;67.9975
16.11.2018;66.6159
17.11.2018;65.9931
20.11.2018;66.0081
21.11.2018;65.5871
22.11.2018;65.9485
23.11.2018;65.6067
24.11.2018;65.6664
